from,to
42648,1361
42648,141856
42648,66389
6714,27777
6714,38496
6714,2373
6714,36324
6714,10525
75272,46876
75272,59194
33198,62240
33198,96971
33198,120705
33198,121032
33198,140509
33198,52437
33198,107326
33198,281
9079,8039
9079,26274
62558,63903
62558,107433
62558,137425
62558,69564
62558,103170
62558,103313
62558,140509
62558,54878
62558,113370
62558,55985
62558,20801
62558,125090
62558,63587
62558,15797
62558,121243
62558,112176
62558,111856
62558,116604
62558,117100
62558,123568
62558,31495
62558,31230
62558,29745
62558,92755
62558,30842
62558,121032
62558,117109
62558,31196
62558,281
62558,111474
62558,40232
62558,110964
62558,88475
62558,90745
62558,100614
62558,96971
62558,111602
62558,19463
62558,111160
62558,97037
70239,61172
71664,107326
71664,12
71664,23054
71664,113640
71664,80973
71664,103683
71664,5943
71664,57784
71664,62680
120316,103937
4880,17895
4880,41994
4880,10363
4880,6270
4880,1929
4880,14488
4880,4862
82088,81789
82088,81973
14973,5204
42069,160335
42069,108198
42069,32862
42069,38496
42069,20848
42069,42897
42069,91048
42069,9591
117024,24188
117024,76524
117024,52461
117024,5081
117024,3361
117024,165590
117024,78480
117024,6955
117024,214477
117024,24600
117024,85642
117024,4489
117024,22816
117024,42621
117024,21287
117024,12
117024,6602
151059,108300
151059,40436
151059,5570
151059,1592
151059,95366
151059,224521
151059,53965
151059,42621
151059,172470
151059,21075
151059,151663
151059,24331
151059,65818
151059,19370
151059,52461
151059,221939
151059,213401
151059,7542
151059,18354
151059,168079
151059,11901
151059,54015
151059,136793
151059,92982
151059,4976
151059,8864
151059,8418
151059,37810
151059,55134
151059,142777
151059,7282
151059,21038
151059,7895
151059,1969
151059,161748
151059,996
151059,51159
151059,150119
151059,71424
151059,1100
75785,14470
15463,2549
15463,8039
15463,8211
15463,483
15463,7213
90368,42192
90368,76986
90368,52437
90368,96971
90368,106951
90368,23054
90368,50953
90368,64408
78212,61172
48837,17466
144379,6755
144379,12
80109,61172
158704,121032
158704,66403
158704,4020
158704,4131
158704,100701
158704,6167
158704,104332
158704,287
158704,12
158704,155191
158704,7846
158704,116543
57097,31021
31112,12
115150,110795
38643,1706
16103,202
74302,74375
151665,179004
151665,7248
151665,28314
151665,6062
20970,460011
20970,225423
20970,143760
20970,439819
20970,176130
20970,40436
20970,272394
20970,12
20970,2759
20970,31535
78435,61172
85626,61172
75237,66
69513,211515
69513,164796
69513,283193
69513,42403
69513,49154
69513,34185
69513,45350
69513,100667
69513,91443
69513,44163
69513,49279
69513,37359
69513,48086
69513,175069
69513,103345
69513,43825
69513,37270
69513,66403
69513,105325
69513,107326
69513,163784
69513,100701
69513,33644
69513,4020
69513,36109
69513,7942
69513,197782
69513,175494
69513,30187
69513,998
69513,22557
69513,2716
69513,2321
69513,2377
69513,28067
71119,61172
12578,144541
12578,21696
12578,66581
12578,7284
12578,2654
12578,12429
12578,5339
12578,9166
77847,228957
77847,66403
77847,154016
77847,23054
77847,140509
77847,52437
77847,121243
77847,109753
77847,149203
77847,281
77847,107326
