from,to
149807,281810
149807,294769
149807,293842
149807,293569
169904,483380
169904,410704
169904,284953
169904,336678
169904,17984
169904,142149
169904,245811
169904,174331
169904,50159
169904,170837
169904,191300
169904,161519
169904,343196
169904,334062
169904,195187
169904,309907
169904,336459
169904,37080
169904,112460
169904,288556
169904,6880
169904,278
169904,299404
169904,240487
169904,330443
169904,119031
169904,323767
169904,303394
169904,277447
169904,304955
169904,1054
169904,91937
169904,263126
169904,305344
169904,292327
169904,289566
169904,269916
169904,176493
169904,42621
169904,289779
70834,463545
70834,162191
70834,457917
70834,334062
70834,163326
70834,40680
70834,426318
70834,26246
70834,315959
70834,432971
70834,440780
70834,459863
70834,313023
70834,466659
70834,5238
70834,313793
70834,139402
70834,312098
70834,5364
70834,428038
70834,33202
70834,294769
70834,293753
70834,445288
70834,160084
70834,445934
70834,191300
70834,443619
70834,436704
70834,429609
70834,431996
70834,6260
70834,431417
70834,351060
70834,17984
70834,425230
70834,432612
70834,432858
70834,303484
70834,193924
157239,42621
157239,57784
157239,89177
157239,166059
157239,225228
157239,12
107578,351275
107578,329671
107578,57784
107578,254165
107578,326510
107578,312071
107578,312111
107578,97449
107578,996
107578,211237
107578,42621
107578,4910
107578,181343
107578,186135
107578,12
4413,493159
4413,482445
4413,191300
4413,482369
4413,313023
4413,312098
4413,139402
4413,290541
4413,444379
4413,14982
4413,458712
4413,451969
4413,263826
4413,424597
4413,445934
4413,443619
4413,410773
4413,441757
4413,310017
4413,437984
4413,435700
4413,432858
4413,433056
4413,281319
4413,226263
4413,193650
4413,430353
4413,429087
4413,177007
4413,344164
4413,235353
4413,325822
4413,49993
4413,427471
4413,337646
4413,8177
4413,410704
4413,424877
4413,425477
4413,424540
9280,144058
9280,182
228421,208325
228421,39057
231118,227273
231118,89772
231118,156553
231118,1054
231118,100701
231118,120705
231118,231211
231118,118944
231118,2313
231118,50223
231118,7846
278871,174331
278871,228957
278871,29328
278871,4020
278871,297292
278871,155597
278871,224898
278871,74700
278871,280542
278871,100701
278871,144058
278871,7213
278871,58119
278871,59953
278871,61172
278871,24312
278871,162729
278871,170917
278871,112460
278871,218777
278871,96971
278871,199537
278871,275722
278871,7846
278871,265131
7388,7846
7388,204962
7388,202582
7388,188396
7388,204959
7388,149690
7388,193705
7388,193734
7388,191960
7388,191948
7388,156614
7388,14652
7388,16219
7388,4063
7388,102259
7388,18080
7388,2348
7388,2633
277467,310017
277467,293047
277467,330280
277467,301856
277467,294599
