from,to
227077,439427
227077,7889
227077,58183
227077,221021
227077,327568
227077,309156
227077,339213
227077,71617
227077,222784
227077,2932
227077,414479
227077,297855
227077,303484
227077,336678
227077,95366
227077,66098
227077,427769
227077,426816
227077,327468
227077,339768
227077,38786
74256,74924
74256,73863
74256,38
241816,437437
241816,312098
241816,457043
241816,290345
241816,138189
241816,55509
241816,155175
241816,271606
241816,415106
241816,293146
241816,410793
241816,155200
241816,94974
241816,312162
241816,196174
241816,6260
241816,278
241816,324299
241816,186135
241816,138038
241816,290437
241816,31495
241816,302198
241816,208130
241816,1121
241816,57090
241816,50159
241816,277447
241816,211237
241816,293848
241816,311130
241816,311093
241816,217114
241816,347787
241816,234419
241816,345970
241816,156553
241816,342165
241816,53812
241816,340063
118944,502847
118944,496677
118944,486257
118944,495434
118944,493219
118944,485950
118944,162191
118944,486842
118944,486732
118944,486417
118944,483127
118944,290805
118944,443162
118944,267455
118944,56658
118944,486034
118944,93907
118944,347576
118944,485050
118944,8177
118944,63608
118944,446192
118944,435558
118944,482936
118944,482874
118944,144576
118944,466811
118944,328393
118944,482835
118944,63235
118944,482443
118944,423584
118944,482369
118944,174621
118944,3618
118944,466728
118944,435278
118944,463306
118944,344533
118944,466659
224673,62943
224673,410793
224673,17984
224673,191300
224673,226263
224673,323767
224673,330443
224673,288556
224673,4910
224673,42621
224673,50101
224673,61172
224673,144058
224673,263126
224673,177469
224673,66403
224673,176493
273187,170837
273187,12
50468,174002
50468,998
50468,90651
50468,1043
50468,12
50468,4672
193828,330832
193828,149693
193828,29932
279463,61172
279463,199859
137256,351517
137256,337646
137256,274140
137256,345970
137256,340063
137256,340032
137256,135374
137256,167041
137256,333383
137256,323792
137256,199859
137256,325430
137256,197323
137256,209680
137256,293834
137256,308393
137256,330256
137256,292001
137256,92996
137256,318722
137256,333573
137256,310741
137256,332948
137256,329671
137256,253306
137256,330280
137256,329831
137256,328442
137256,325095
137256,261317
137256,293047
137256,293602
137256,282760
137256,222784
137256,186135
137256,294769
137256,293729
137256,278984
137256,312071
137256,27442
206889,12
206889,272412
149807,220161
149807,160235
149807,312098
149807,221021
149807,439592
149807,439445
149807,234419
149807,303484
149807,66098
149807,429450
149807,426816
149807,355837
149807,195334
149807,320098
149807,320844
149807,338511
149807,91660
149807,144047
149807,185233
149807,105579
149807,316070
149807,321555
149807,325964
149807,324395
149807,325871
149807,321573
149807,320482
149807,318060
149807,221834
149807,300736
149807,302041
149807,302317
149807,193253
149807,40436
149807,5418
149807,295518
149807,281810
149807,294769
149807,293842
149807,293569
169904,483380
169904,410704
169904,284953
169904,336678
169904,17984
169904,142149
169904,245811
169904,174331
169904,50159
169904,170837
169904,191300
169904,161519
169904,343196
169904,334062
169904,195187
169904,309907
169904,336459
169904,37080
169904,112460
169904,288556
169904,6880
169904,278
169904,299404
169904,240487
169904,330443
169904,119031
169904,323767
169904,303394
169904,277447
169904,304955
169904,1054
169904,91937
169904,263126
169904,305344
169904,292327
169904,289566
169904,269916
169904,176493
169904,42621
169904,289779
70834,463545
70834,162191
70834,457917
70834,334062
70834,163326
70834,40680
70834,426318
70834,26246
70834,315959
70834,432971
70834,440780
70834,459863
70834,313023
70834,466659
70834,5238
70834,313793
70834,139402
70834,312098
70834,5364
70834,428038
70834,33202
70834,294769
70834,293753
70834,445288
70834,160084
70834,445934
70834,191300
70834,443619
70834,436704
70834,429609
70834,431996
70834,6260
70834,431417
70834,351060
70834,17984
70834,425230
70834,432612
70834,432858
70834,303484
70834,193924
157239,42621
157239,57784
157239,89177
157239,166059
157239,225228
157239,12
107578,351275
107578,329671
107578,57784
107578,254165
107578,326510
107578,312071
107578,312111
107578,97449
107578,996
107578,211237
107578,42621
107578,4910
107578,181343
107578,186135
107578,12
4413,493159
4413,482445
4413,191300
4413,482369
4413,313023
4413,312098
4413,139402
4413,290541
4413,444379
4413,14982
4413,458712
